"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0
"2" 0 NA 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0
"3" 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0
"5" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 1
"7" 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"8" 1 1 1 1 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 1
"9" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"10" 1 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"11" 1 0 1 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1
"14" 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
"15" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"20" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 1 0 0 0 0 0 NA 1 1 0 0 0 0 0 0
"22" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"23" 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0
"24" 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"25" 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1
"26" 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"27" 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"28" 1 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0
"29" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"30" 0 1 0 0 0 0 NA 0 0 0 1 1 1 0 1 1 0 0 0 0
"31" 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0
"32" 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0
"33" 0 1 0 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1
"34" 1 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"35" 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0
"36" 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1
"37" 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"38" 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"39" 1 0 1 0 1 1 1 1 1 0 0 1 1 0 1 0 0 0 0 0
"40" 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1
"41" 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0
"42" 1 1 1 1 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0
"43" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0
"44" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"45" 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"46" 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"47" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" 1 1 1 1 1 1 0 0 1 1 0 1 1 0 0 1 1 0 0 1
"49" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"50" 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
"51" 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0
"52" 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0
"53" 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"54" 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"55" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" 1 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0
"58" 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0
"59" 1 0 0 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0
"60" 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1
"61" 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"62" 1 0 1 1 0 1 1 0 0 0 0 1 1 0 1 1 0 1 0 1
"63" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0
"65" 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0
"66" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"67" 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"68" 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0
"69" 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"70" 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0
"71" 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0
"72" 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 0
"73" 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1
"74" 1 0 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 0 1
"75" 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"76" 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"77" 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"78" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"79" 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0
"80" 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"81" 0 1 1 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1
"82" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0
"83" 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0
"84" 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"85" 1 1 1 1 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 0
"86" 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0
"87" 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0
"88" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"90" 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0
"91" 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0
"92" 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1
"93" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0
"94" 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0
"96" 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0
"97" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"99" 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0
"100" 1 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0
"101" 0 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 0
"102" 1 0 1 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 0
"103" 0 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0
"104" 1 0 1 0 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0
"105" 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0
"106" 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"107" 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 1 1 1 0 0
"108" 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 1 1 0 1 1
"109" 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 1
"110" 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0
"111" 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"112" 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0
"113" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0
"114" 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0
"115" 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1
"116" 1 1 1 1 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 1
"117" 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0
"118" 1 1 0 0 1 1 1 0 0 1 0 1 1 1 1 1 0 0 1 0
"119" 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0
"120" 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0
"121" 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0
"122" 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"123" 1 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0
"124" 1 1 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0
"125" 1 0 1 0 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0 1
"126" 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0
"127" 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1
"128" 0 1 1 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0
"129" 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0
"130" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 1
"131" 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1
"132" 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0
