Motivasyon,SinifIklm,Degerlendirme,Yonlendirme,Ogretim,Destek,cinsiyet
-0.39,-0.08,0.2509,-0.1057,1.5697,0.34,1
1.59,1.85,2.6295,3.3108,2.563,-0.28,2
0.8,-1.04,-0.2859,0.9374,0.4297,1.68,1
-0.67,0.81,0.2509,0.4855,-0.0798,0.34,2
0.05,0.49,-0.0092,0.9374,2.563,1.68,2
1.59,0.81,0.2509,-0.5809,0.7228,1.68,2
-0.9,-1.39,-0.5945,1.1547,1.0768,0.34,1
-1.12,1.19,-0.0092,0.4855,0.4297,1.68,1
0.5,-0.33,-0.0092,0.2217,0.7228,0.97,1
0.05,1.19,1.3625,1.1547,0.7228,-0.09,2
-0.39,-0.08,-0.0092,2.3831,1.0768,0.61,2
0.8,-0.33,-0.0092,0.4855,0.7228,0.97,1
1.59,1.19,-0.5945,-1.5999,1.0768,0.97,1
0.05,1.19,1.0416,-0.1057,0.7228,0.97,2
-0.39,1.19,1.0416,0.4855,2.563,1.68,1
1.59,-0.53,0.2509,-0.5809,2.563,0.34,2
0.05,1.19,0.2509,-0.1057,2.563,0.97,2
1.59,-0.53,-1.4597,-0.1057,0.1672,1.68,1
0.05,0.49,-2.3919,-1.5999,-0.0798,-0.28,1
1.11,1.85,0.5054,0.2217,0.4297,0.97,2
1.59,-1.04,0.7644,-0.5809,1.0768,0.34,1
0.5,-0.33,-0.2859,0.2217,0.1672,-0.09,2
1.59,-0.53,1.0416,0.2217,0.7228,0.34,1
0.5,0.2,1.0416,0.7183,-0.3204,-0.09,1
0.8,0.2,1.3625,-0.1057,1.5697,0.97,1
1.11,-1.2,0.5054,0.7183,2.563,0.61,2
-0.39,0.2,-0.2859,-0.373,-0.5612,0.61,2
1.59,0.81,-0.0092,1.3823,1.0768,0.34,1
-0.67,1.19,-0.0092,0.4855,0.1672,-0.09,2
-1.12,-0.33,0.2509,1.636,-0.3204,0.34,1
-0.67,-0.88,0.7644,-1.5999,1.5697,1.68,2
-2.3,-0.88,-2.3919,-1.5999,0.1672,-0.28,1
0.8,1.85,0.2509,0.9374,2.563,1.68,1
0.8,-1.04,0.7644,-1.5999,1.0768,1.68,2
-1.12,-0.33,-0.2859,0.7183,-0.3204,0.61,1
0.5,0.49,-0.9632,0.7183,1.0768,-0.28,1
0.5,0.49,0.7644,-0.5809,0.7228,-0.86,1
-0.67,-0.53,-0.9632,-0.5809,-0.8083,-1.53,1
1.59,1.19,1.0416,0.7183,0.1672,0.61,2
0.8,-0.71,0.2509,0.4855,0.1672,-0.86,1
0.05,-0.08,0.5054,1.1547,2.563,0.97,2
-0.67,-1.2,0.7644,0.9374,1.5697,1.68,2
1.59,-0.88,-0.0092,0.4855,-1.3515,-1.28,2
1.59,0.81,0.5054,0.4855,1.5697,0.34,2
