"Kaygi" "Korku" "Ozyet" "Ilgi" "Davranis" "Basari"
"1" 0.06 0.9139 -0.18 0.1775 0.811 4.7
"2" 2.55 0.3889 0.67 0.1775 2.3531 4.6
"3" -0.2 1.2219 -0.18 0.6584 0.2171 4.9
"4" 1.02 0.1524 -0.63 -0.2514 0.6426 4.3
"5" 0.79 -0.767 1.47 -0.045 2.7409 4.2
"6" 1.3 -0.3017 -1.06 -0.2514 0.6426 4.5
"7" -0.2 -0.3017 0.78 -1.5329 0.6426 4.7
"8" 0.79 0.9139 -0.77 -0.1091 0.6426 4.2
"9" -0.47 -0.3017 0.54 1.4006 1.8194 5
"10" -0.47 -0.3017 2.27 -0.2514 1.4702 5.6
"11" 0.06 -0.767 1.47 -0.2514 1.3516 4.8
"12" -1.3 -1.2999 0.15 1.4565 0.6426 5
"13" 0.56 -0.3017 -0.33 -1.5329 0.2171 4.6
"14" -0.2 -0.767 0.54 1.4565 0.6426 4.3
"15" -0.2 -1.2999 0.54 -1.5329 1.3516 4.3
"16" -0.47 -0.767 -0.02 1.4565 0.2171 4.8
"17" -0.47 -0.076 0.15 -0.2514 1.2288 4.2
"18" -0.47 -0.53 -0.63 0.1775 0.6426 5.1
"19" -0.47 -0.3017 -0.18 -0.2514 0.9618 4.3
"20" 0.32 0.9139 -0.18 0.6584 0.9618 4.7
"21" -0.2 0.9139 0.15 1.4565 0.4486 5.6
"22" -0.47 -0.767 0.78 1.4565 1.7024 4.6
"23" 1.02 0.3889 -0.33 0.1775 1.4702 4.1
"24" -1 -1.0202 -0.48 1.4565 0.9618 4.5
"25" 1.53 2.0328 -0.02 -1.5329 1.2288 3.5
"26" -0.2 0.3889 -0.02 0.0421 -0.0721 3.6
"27" 0.06 -1.6239 2.27 1.4565 4.4249 4.4
"28" -0.47 -1.0202 -0.33 -0.2514 -0.0721 3.8
"29" 1.02 3.9067 -0.02 -0.2514 -2.1402 3.6
"30" 0.06 0.64 0.54 0.6584 -0.4567 4.7
"31" 1.53 0.64 -3.75 0.1775 0.778 3.3
"32" 0.06 -1.0202 -0.18 0.6584 1.3516 4.3
"33" -0.2 -2.0269 0.78 1.4565 0.6426 3.6
"34" 1.26 0.1524 -0.48 -1.5329 0.811 4.3
"35" 1.53 0.3889 0.34 1.4565 0.9618 3.9
"36" -0.47 -1.2999 -0.33 0.1775 1.3516 4.6
"37" 1.53 1.5828 0.78 0.9484 2.0662 4.2
"38" 0.06 0.64 0.54 1.4565 0.811 4.8
"39" 0.06 0.1524 2.27 0.6584 1.4702 3.8
"40" 0.32 0.3889 -0.48 0.6584 0.6426 4
"41" 0.56 0.9139 0.34 -0.2514 -0.0721 5.2
"42" -0.2 0.1524 -0.92 1.4565 1.0998 3.3
"43" 0.06 -0.53 -0.02 -0.2514 0.4486 4.4
"44" 0.06 0.1524 -2.96 -1.5329 0.4486 3.8
"45" -0.47 0.64 0.15 -1.5329 0.6426 4.7
"46" -2.37 -1.2999 -0.02 1.4565 1.2288 4
"47" -2.37 1.5828 -3.75 1.2691 -0.0721 5
"48" 2.55 3.9067 -1.06 1.4565 -0.0721 4
"49" 1.02 -0.3017 0.78 1.4565 1.4702 4.3
"50" -0.47 3.9067 -1.86 -0.2514 1.2288 3.6
"51" 0.32 0.1524 -0.33 1.4565 0.9618 4.6
"52" 1.89 1.2798 0.54 -1.0033 2.2022 4.2
"53" 0.32 0.9139 0.78 -0.2514 3.0247 4
"54" 1.02 1.5828 0.34 0.9794 2.7409 4.1
"55" -0.47 0.64 -1.36 0.0462 1.9398 3.8
"56" 0.56 0.64 -0.18 0.1775 1.9398 3.9
"57" -2.37 -3.7666 -3.75 1.4565 -2.1402 4.4
"58" 1.02 0.64 -0.63 -1.334 1.5866 3.6
"59" -2.37 0.1524 -3.75 -1.5329 2.0662 2.9
"60" -1.3 0.1524 0.34 -0.2514 1.4702 4.8
"61" 0.06 0.2236 -0.54 0.6088 0.6426 4
"62" 1.26 0.9139 -0.18 -1.5329 0.4486 3.2
"63" 1.26 0.9139 -0.33 0.4296 0.811 4.3
"64" 2.55 0.9139 0.15 -1.5329 0.6426 5
"65" -0.2 -1.2999 1.07 -0.2514 1.3516 4.5
"66" -0.2 -0.767 -0.48 -1.5329 -2.1402 4.2
"67" -0.47 -1.0202 -0.33 0.6584 0.2171 4.5
"68" 0.06 0.3889 0.78 1.4565 -0.0721 4.8
"69" 0.79 0.64 -0.48 -0.7332 0.811 3.9
"70" 0.56 0.1524 -0.92 -1.5329 0.4486 4.3
"71" 1.02 0.9139 -1.06 -0.2514 -0.0721 3.9
"72" 0.79 2.6645 -0.18 -0.7332 0.4486 4.2
"73" 0.06 -0.3017 -0.48 1.4565 -0.4567 4.5
"74" 2.55 1.5828 -1.68 -1.5329 -2.1402 3.7
"75" -2.37 -1.2999 0.54 1.4565 0.811 4.8
"76" 0.32 1.5828 -0.63 -0.2514 1.4702 3.8
"77" 0.06 0.1524 -0.77 1.4565 1.3516 3.4
"78" -0.2 -1.0202 -0.02 -0.2514 0.4486 3.7
"79" 1 0.9139 -1.51 0.1775 -0.4567 3.8
"80" 2.55 3.9067 0.78 1.4565 4.4249 3.9
"81" 1.26 3.9067 0.78 -1.3074 0.2171 3.6
"82" -1.68 -0.076 0.54 1.4565 0.811 4.9
"83" 0.56 -0.3017 -1.06 1.4565 1.1421 3.5
"84" 0.32 0.9139 -1.51 1.4565 -2.1402 3.6
"85" -0.47 -0.767 -0.92 -1.5329 -0.0721 4.1
"86" 0.32 0.1524 -0.92 -0.2514 0.4486 3.2
"87" 0.56 1.2219 -0.02 -1.5329 1.5866 3.4
"88" 1.26 0.9139 -0.02 1.4565 1.0998 4.4
"89" -0.73 -0.076 0.15 1.4565 0.811 3.9
"90" 0.32 1.2219 -0.33 -0.2514 -0.4567 4.9
"91" 0.06 0.1524 -0.92 -1.5329 -1.0226 3.7
"92" 0.79 2.0328 -0.18 -1.5329 -0.4567 3.8
"93" 1.26 0.64 -0.77 -1.5329 0.6426 3.1
"94" -0.2 -0.076 0.34 1.4565 0.811 5.4
"95" -0.47 -0.3017 -0.48 1.4565 -0.4567 4.2
"96" -0.73 -1.6239 0.34 1.4565 0.4486 4
"97" 1.89 0.1524 -0.77 -1.5329 -0.0721 4.7
