OKUL;BOLGE;IL;MAT;FEN;TURKCE;SAYISAL;SOZEL;BASARI
304155;IST-1;Istanbul;19,1;37,4;49,6;480;292;45
336145;IST-1;Istanbul;19,8;37,4;49,2;458;271;37
342611;IST-1;Istanbul;20;37,3;49;456;270;56
313617;IST-1;Istanbul;19,5;37,3;51;477;289;45
388754;IST-1;Istanbul;18;36,6;48,9;470;292;32
324975;IST-2;Istanbul;16,7;35,4;49,8;518;302;75
391351;IST-2;Istanbul;17,2;35,4;50,7;505;305;52
384942;IST-2;Istanbul;15,7;34,9;49,3;482;299;90
336582;IST-2;Istanbul;15,6;35,6;49,4;489;291;90
344513;IST-2;Istanbul;16,7;35;50,4;517;285;60
394585;IST-3;Istanbul;20,2;36,5;53,1;482;303;49
355248;IST-3;Istanbul;21,1;36,5;52,5;486;314;32
333387;IST-3;Istanbul;20,6;36,5;53,5;509;298;42
369889;IST-3;Istanbul;19,9;37;52,5;517;312;42
345289;IST-3;Istanbul;20,2;36,7;51,4;481;299;40
381902;IST-4;Istanbul;23,5;37,1;54,6;498;308;26
348363;IST-4;Istanbul;24,4;37,4;54,7;471;299;22
329232;IST-4;Istanbul;23;36,9;55,1;477;293;28
381684;IST-4;Istanbul;23,6;36,9;55,3;444;309;26
305773;IST-4;Istanbul;23,3;37,3;55,5;488;309;22
397981;IST-5;Istanbul;21,6;36,7;53,1;489;296;37
330507;IST-5;Istanbul;21,2;36,3;53,7;467;307;28
364112;IST-5;Istanbul;21,7;36,7;53,9;462;315;34
361092;IST-5;Istanbul;20,9;36,5;54,1;460;299;28
307370;IST-5;Istanbul;21;36,4;55,3;506;293;37
361368;IST-6;Istanbul;17,3;37,3;47,9;453;268;52
316679;IST-6;Istanbul;16,9;37,6;48,8;423;271;42
366906;IST-6;Istanbul;18,6;37,5;46,7;463;266;42
322819;IST-6;Istanbul;17,3;37,3;47,9;453;268;52
328219;IST-6;Istanbul;17,3;37,3;47,9;453;268;52
340053;IST-6;Istanbul;18,5;37,3;49,3;451;270;52
397640;IST-6;Istanbul;17,3;37,3;47,9;453;268;52
306733;IST-6;Istanbul;16,5;36,5;47,7;431;260;60
384579;IST-7;Istanbul;20,1;35,9;49,7;484;304;37
320293;IST-7;Istanbul;20,4;36,1;51,1;529;308;60
333941;IST-7;Istanbul;20,4;36,1;51,1;529;308;60
389756;IST-7;Istanbul;19,4;36,4;51,8;502;303;40
339025;IST-7;Istanbul;19,3;35,6;51,7;499;308;45
315571;IST-7;Istanbul;19,6;35,4;51,6;460;316;52
363994;IST-7;Istanbul;20,4;36,1;51,1;529;308;60
333684;IST-7;Istanbul;20,4;36,1;51,1;529;308;60
373633;IST-8;Istanbul;17,2;37;49;433;249;42
321629;IST-8;Istanbul;18,5;36,5;49,5;430;269;52
379739;IST-8;Istanbul;17,5;36,7;48,3;460;261;45
317380;IST-8;Istanbul;18,5;37,3;48,9;402;265;56
357642;IST-8;Istanbul;18,8;36,6;48,3;440;274;42
354656;IST-9;Istanbul;19,5;38,2;48,4;440;279;37
372653;IST-9;Istanbul;18,9;37,9;49,2;439;277;34
348868;IST-9;Istanbul;18,8;37,5;50;454;274;30
332997;IST-9;Istanbul;18,9;37,3;49,9;438;270;37
322685;IST-9;Istanbul;19,5;37,5;49,9;439;270;34
335148;IST-9;Istanbul;18,9;37,9;49,2;439;277;34
384757;IST-9;Istanbul;18,9;37,9;49,2;439;277;34
384538;IST-9;Istanbul;18,9;37,9;49,2;439;277;34
373664;IST-10;Istanbul;22,6;36,5;55,7;650;275;24
361782;IST-10;Istanbul;22,7;37,3;54,9;476;292;30
317166;IST-10;Istanbul;21,4;36,3;53,4;473;278;20
335543;IST-10;Istanbul;21,4;36,3;53,4;473;278;20
388064;IST-10;Istanbul;21,4;36,3;53,4;473;278;20
350956;IST-10;Istanbul;22,7;36,1;53,1;519;297;32
321981;IST-10;Istanbul;21,4;36,3;53,4;473;278;20
352817;IST-10;Istanbul;21,9;36,5;54,3;496;303;28
367544;IST-11;Istanbul;18,5;35,5;52,7;507;308;49
317402;IST-11;Istanbul;19,9;35,9;51,6;513;307;52
361136;IST-11;Istanbul;19,5;36,3;51;511;330;52
313133;IST-11;Istanbul;19,5;36,3;51;511;330;52
304642;IST-11;Istanbul;19,5;36,3;51;511;330;52
312849;IST-11;Istanbul;19,5;36,3;51;511;330;52
373935;IST-11;Istanbul;18,2;35,4;51,5;517;327;56
331666;IST-11;Istanbul;19;36,3;51,1;535;312;65
346766;ANK-1;Ankara;24,3;37,8;57,4;407;260;6
